situated,positioned,rotating,isolated,emptying,positioned
tranquillity,peacefulness,peacefulness,harshness,weariness,happiness
keen,useful,simple,famous,sharp,sharp
costly,expensive,expensive,beautiful,popular,complicated
unlikely,improbable,improbable,disagreeable,different,unpopular
temperate,mild,cold,mild,short,windy
often,frequently,definitely,frequently,chemically,hardly
hastily,hurriedly,hurriedly,shrewdly,habitually,chronologically
prospective,potential,particular,prudent,potential,prominent
dissipate,disperse,disperse,isolate,disguise,photograph
prolific,productive,productive,serious,capable,promising
percentage,proportion,volume,sample,proportion,profit
uniform,alike,hard,complex,alike,sharp
figure,solve,list,solve,divide,express
bigger,larger,steadier,closer,larger,better
arranged,planned,planned,explained,studied,discarded
prominent,conspicuous,battered,ancient,mysterious,conspicuous
consumed,eaten,bred,caught,eaten,supplied
discrepancies,differences,weights,deposits,wavelengths,differences
built,constructed,constructed,proposed,financed,organized
