situated,positioned,positioned,correct
tranquillity,peacefulness,peacefulness,guess
keen,useful,sharp,wrong
costly,expensive,expensive,correct
unlikely,improbable,improbable,correct
temperate,mild,mild,correct
often,frequently,frequently,correct
hastily,hurriedly,hurriedly,correct
prospective,potential,potential,correct
dissipate,disperse,disperse,correct
prolific,productive,productive,correct
percentage,proportion,proportion,correct
uniform,alike,alike,correct
figure,solve,solve,correct
bigger,larger,larger,correct
arranged,planned,planned,correct
prominent,conspicuous,conspicuous,correct
consumed,eaten,eaten,correct
discrepancies,differences,differences,correct
built,constructed,constructed,correct
