situated,positioned,positioned,correct
tranquillity,peacefulness,peacefulness,correct
keen,useful,sharp,wrong
costly,expensive,expensive,correct
unlikely,improbable,improbable,correct
temperate,mild,mild,correct
often,frequently,hardly,wrong
hastily,hurriedly,hurriedly,guess
prospective,potential,prominent,wrong
dissipate,disperse,disperse,correct
prolific,productive,promising,wrong
percentage,proportion,profit,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
bigger,larger,steadier,guess
arranged,planned,planned,correct
prominent,conspicuous,battered,wrong
consumed,eaten,eaten,correct
discrepancies,differences,deposits,wrong
built,constructed,organized,wrong
